,Rank,"Player (yrs, age)",Doubles,Bats
613,608.,Jorge Orta (16),267,L
614,608.,Aaron Rowand (11),267,R
615,608.,Bobby Thomson (15),267,R
616,617.,Carlos Guillen (14),266,B
617,617.,Mike Hargrove (12),266,L
618,617.,Ray Knight (13),266,R
619,617.,Tommy Leach (19),266,R
620,617.,Hack Wilson+ (12),266,R
621,622.,Bill Mueller (11),265,B
622,622.,Denard Span (11),265,L
623,622.,Cecil Travis (12),265,L
624,625.,Casey Blake (13),264,R
625,625.,Jim Fregosi (18),264,R
626,625.,Joe Gordon+ (11),264,R
627,625.,Brian McRae (10),264,B
628,625.,Andy Pafko (17),264,R
629,625.,Gerardo Parra (11),264,L
630,625.,Wally Schang (19),264,B
631,625.,Troy Tulowitzki (13),264,R
632,633.,Enos Cabell (15),263,R
633,633.,Lonny Frey (14),263,L
634,633.,Eddie Miller (14),263,R
635,633.,Terry Moore (11),263,R
636,633.,Jody Reed (11),263,R
637,633.,Joe Tinker+ (15),263,R
638,639.,"Nolan Arenado (8, 29)",262,R
639,639.,Larry Bowa (16),262,B
640,639.,Frank Catalanotto (14),262,L
641,639.,Tom Daly (17),262,B
642,639.,Ira Flagstead (13),262,R
643,639.,Jim Gantner (17),262,L
644,639.,George Gore (14),262,L
645,639.,Ramon Hernandez (15),262,R
646,639.,"Pablo Sandoval (13, 33)",262,B
647,639.,Frank Thomas (16),262,R
648,639.,Melvin Upton Jr. (12),262,R
649,650.,Dolph Camilli (12),261,L
650,650.,Wil Cordero (14),261,R
651,652.,Frankie Crosetti (17),260,R
652,652.,Kirk Gibson (17),260,L
653,652.,Omar Infante (15),260,R
654,652.,"Jason Kipnis (10, 33)",260,L
655,652.,Richie Sexson (12),260,R
656,652.,"Mike Trout (10, 28)",260,R
657,658.,Jackie Jensen (11),259,R
658,658.,Henry Larkin (10),259,R
659,658.,Adam Lind (12),259,L
660,658.,"Jed Lowrie (12, 36)",259,B
661,662.,Stephen Drew (12),258,L
662,662.,Yunel Escobar (11),258,R
663,662.,Carl Everett (14),258,B
664,662.,Rusty Greer (9),258,L
665,662.,Jo-Jo Moore (12),258,L
666,662.,Al Smith (12),258,R
667,668.,Mike Bordick (14),257,R
668,668.,Mark Ellis (12),257,R
669,668.,Rollie Hemsley (19),257,R
670,668.,Mike Lieberthal (14),257,R
671,668.,Kendrys Morales (13),257,B
672,668.,Red Rolfe (10),257,L
673,668.,Mike Tiernan (13),257,L
674,668.,Gene Woodling (17),257,L
675,676.,"Erick Aybar (12, 36)",256,B
676,676.,Rick Burleson (13),256,R
677,676.,Tommy Harper (15),256,R
678,676.,Orlando Hudson (11),256,B
679,676.,Roger Peckinpaugh (17),256,R
680,676.,Jim Piersall (17),256,R
681,676.,"Anthony Rendon (8, 30)",256,R
682,676.,Billy Rogell (14),256,B
683,676.,Darryl Strawberry (17),256,L
684,685.,Ethan Allen (13),255,R
685,685.,Jacque Jones (10),255,L
686,685.,Russell Martin (14),255,R
687,685.,Mark McLemore (19),255,B
688,685.,Juan Pierre (14),255,L
689,690.,Mule Haas (12),254,L
690,690.,Tom Herr (13),254,B
